uur,vx_c,vx_b,vx_ster
41,43757.0613942116,24417.570328127375,1.875422182829336
42,41916.84452776273,27612.60052874963,-13.48516027048686
43,38671.74288221841,30459.573136160056,-24.21466932917921
44,34338.615787584306,32922.803956380405,-30.687469217776258
45,29115.769424574602,34967.44295758752,-33.064394961519376
46,23121.181194889712,36559.6663147761,-31.364304820345343
47,16418.190611986654,37667.02113503374,-25.513436838493366
48,9033.632992421533,38258.95845743044,-15.381946804241194
49,972.9698487727237,38307.58726036247,-0.816209922830069
50,-7762.605348364548,37788.67756423466,18.32377615630714
51,-17149.841816770342,36682.931978205816,42.10842650054201
52,-27095.156005983794,34977.52966441881,70.44056397005605
53,-37341.003395042906,32667.922310297574,102.87237648162284
54,-47287.83315499085,29759.826948022295,138.26568716067817
55,-55690.25162917632,26271.316318861587,174.21989178012672
56,-60290.37674753923,22234.85810790094,206.38447556447397
57,-57902.74721872514,17699.10464713781,228.6049481846222
58,-46154.880070368316,12730.181726377126,236.12211869363833
59,-26684.146532733495,7412.1600465721895,231.45931801160745
60,-5170.803645151802,1846.3655558359114,224.487304540452
61,13237.177915487126,-3850.6814361920833,224.00696855710544
62,26608.22826489978,-9550.702085391904,232.82422924849374
63,35230.65095512547,-15118.371807478583,249.61371555539685
64,40088.34997675858,-20417.087351120143,271.760963719603
65,42129.0745661244,-25315.361358865186,296.7481464656204
66,42074.38966123377,-29693.245089805758,322.54188106977693
